source,title,link,summary,created_at
VnExpress,Hạ viện Mỹ bất ngờ hủy bỏ phiếu siết quyền lực chiến tranh của ông Trump,https://vnexpress.net/ha-vien-my-bat-ngo-huy-bo-phieu-siet-quyen-luc-chien-tranh-cua-ong-trump-5076792.html,"<a href=""https://vnexpress.net/ha-vien-my-bat-ngo-huy-bo-phieu-siet-quyen-luc-chien-tranh-cua-ong-trump-5076792.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/22/afp-v1-highres-speakerjohnsont-7625-3944-1779407997.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=XtlGguXKape-OMg15h2kBA"" /></a>Hạ viện Mỹ đình chỉ bỏ phiếu về nghị quyết hạn chế quyền lực của ông Trump trong chiến dịch Iran, khiến phe Dân chủ phản đối.",58:11.8
VnExpress,Công ty vận hành metro Bến Thành - Suối Tiên lãi đậm,https://vnexpress.net/cong-ty-van-hanh-metro-ben-thanh-suoi-tien-lai-dam-5076762.html,"<a href=""https://vnexpress.net/cong-ty-van-hanh-metro-ben-thanh-suoi-tien-lai-dam-5076762.html""><img src=""https://i1-kinhdoanh.vnecdn.net/2026/05/21/233a7313-1779378482-7330-1779378495.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=XDD3nLRvyxu7MywUSs7udA"" /></a>Đơn vị vận hành metro Bến Thành - Suối Tiên năm ngoái lãi sau thuế gần 39 tỷ đồng, nhờ đó bù hết lỗ lũy kế từ khi thành lập đến trước lúc vận hành thương mại.",58:11.8
VnExpress,10 trải nghiệm hàng đầu thế giới 2026,https://vnexpress.net/10-trai-nghiem-hang-dau-the-gioi-2026-5075778.html,"<a href=""https://vnexpress.net/10-trai-nghiem-hang-dau-the-gioi-2026-5075778.html""><img src=""https://i1-dulich.vnecdn.net/2026/05/19/trainghiem5-1779187295.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=jIHDeB3_ETrLeGkn5perHw"" /></a>Tripadvisor chọn tour đi du thuyền trên vịnh Hạ Long, hành trình ký ức Beatles và khám phá Hiroshima vào top trải nghiệm hàng đầu thế giới năm 2026.",58:11.8
VnExpress,Dấu hiệu buổi sáng cảnh báo đột quỵ,https://vnexpress.net/dau-hieu-buoi-sang-canh-bao-dot-quy-5076175.html,"Méo miệng, yếu tay chân, nói khó hoặc đau đầu dữ dội sau khi thức dậy có thể là dấu hiệu cảnh báo đột quỵ, cần được cấp cứu càng sớm càng tốt.",58:11.8
VnExpress,Anh kêu gọi đặt ngưỡng nhiệt làm việc tối đa,https://vnexpress.net/anh-keu-goi-dat-nguong-nhiet-lam-viec-toi-da-5076548.html,"<a href=""https://vnexpress.net/anh-keu-goi-dat-nguong-nhiet-lam-viec-toi-da-5076548.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/21/anh165823564736281658235931976-3270-8115-1779347551.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=eZ7OZNVcCHrESmVesmaSlA"" /></a>Ủy ban Biến đổi Khí hậu (CCC) của Anh kêu gọi thiết lập quy định về nhiệt độ tối đa tại nơi làm việc nhằm bảo vệ người lao động.",58:11.8
VnExpress,A2 e-tron - xe điện cỡ nhỏ của Audi lộ diện,https://vnexpress.net/a2-e-tron-xe-dien-co-nho-cua-audi-lo-dien-5076358.html,"<a href=""https://vnexpress.net/a2-e-tron-xe-dien-co-nho-cua-audi-lo-dien-5076358.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/21/AudiA2etron-1779349930-5546-1779350050.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=XJGAwzSwabi8Wu1pTPBO0g"" /></a>Mẫu xe điện mới của hãng xe sang Đức dự kiến ra mắt vào mùa thu năm nay, xe mang kiểu dáng hatchback hoặc crossover nhỏ.",58:11.8
VnExpress,Ông Trump có thể bỏ lỡ đám cưới con trai vì tình hình Iran,https://vnexpress.net/ong-trump-co-the-bo-lo-dam-cuoi-con-trai-vi-tinh-hinh-iran-5076784.html,"<a href=""https://vnexpress.net/ong-trump-co-the-bo-lo-dam-cuoi-con-trai-vi-tinh-hinh-iran-5076784.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/22/trump-1779405172-5532-1779405803.webp?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=chU3x0umzNT2ozXFtZf3yA"" /></a>Ông Trump đề cập khả năng không dự đám cưới lần thứ hai của con cả Donald Trump Jr., do đang tập trung tìm cách đạt thỏa thuận với Iran.",58:11.8
VnExpress,Làng nào 'mắc võng' cho bí đao khổng lồ ngủ?,https://vnexpress.net/lang-nao-mac-vong-cho-bi-dao-khong-lo-ngu-5076710.html,"<a href=""https://vnexpress.net/lang-nao-mac-vong-cho-bi-dao-khong-lo-ngu-5076710.html""><img src=""https://i1-dulich.vnecdn.net/2026/05/21/bi225281475227321-1779363583-3188-1779363594.webp?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=7WNKfC-hIM52URNlbxpCBA"" /></a>Ngôi làng trăm năm tuổi nổi tiếng với giống bí đao khổng lồ nặng hàng chục kg, được người dân chế biến thành nhiều đặc sản hấp dẫn.",58:11.8
VnExpress,Lisa khoe vũ đạo trong MV cổ vũ World Cup,https://vnexpress.net/lisa-khoe-vu-dao-trong-mv-co-vu-world-cup-5076787.html,"<a href=""https://vnexpress.net/lisa-khoe-vu-dao-trong-mv-co-vu-world-cup-5076787.html""><img src=""https://i1-giaitri.vnecdn.net/2026/05/22/lisa-1779405331-8099-1779405439.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=5HLGrHBbnVRoyIElUH13Uw"" /></a>Lisa mặc trang phục thể thao, nhảy cùng các vũ công trong ""Goals"", MV cổ vũ World Cup 2026 do FIFA sản xuất.",58:11.8
VnExpress,"'Xã phường XHCN là cộng đồng hiện đại, không phải bao cấp'",https://vnexpress.net/xa-phuong-xhcn-la-cong-dong-hien-dai-khong-phai-bao-cap-5076769.html,"<a href=""https://vnexpress.net/xa-phuong-xhcn-la-cong-dong-hien-dai-khong-phai-bao-cap-5076769.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/22/image-jpeg-1779409463-5830-1779409468.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=MO7v3dslNMhONZPXNAV0Hg"" /></a>Theo GS Nguyễn Xuân Thắng, xã phường xã hội chủ nghĩa là cộng đồng hiện đại, xanh, số, nhân văn, hạnh phúc; không phải mô hình bình quân, bao cấp hay quản lý kiểu cũ.",58:11.8
VnExpress,"Rộ mốt thuê xe, vệ sĩ giả làm 'tiểu thư xuống phố'",https://vnexpress.net/ro-mot-thue-xe-ve-si-gia-lam-tieu-thu-xuong-pho-5076259.html,"<a href=""https://vnexpress.net/ro-mot-thue-xe-ve-si-gia-lam-tieu-thu-xuong-pho-5076259.html""><img src=""https://i1-giadinh.vnecdn.net/2026/05/20/a-nh-ma-n-hi-nh-lu-c-177927936-9463-3106-1779281212.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=F-bg4HiAkGbdQtzJGQAoXg"" /></a>Để có 45 giây hóa thân thành ""tiểu thư xuống phố"" giống trên mạng, nhiều người chi hàng chục triệu đồng thuê vệ sĩ, siêu xe và êkíp ghi hình.",58:11.8
VnExpress,"Điểm tin 6h: Chia sẻ thông tin sai trên MXH sẽ bị phạt 30-50 triệu đồng | Nhiều 'bình luận viên' Cà Khịa TV, Ra Khơi TV bị bắt",https://vnexpress.net/diem-tin-6h-chia-se-thong-tin-sai-tren-mxh-se-bi-phat-30-50-trieu-dong-nhieu-binh-luan-vien-ca-khia-tv-ra-khoi-tv-bi-bat-5076785.html,"<a href=""https://vnexpress.net/diem-tin-6h-chia-se-thong-tin-sai-tren-mxh-se-bi-phat-30-50-trieu-dong-nhieu-binh-luan-vien-ca-khia-tv-ra-khoi-tv-bi-bat-5076785.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/22/z78516717813365840771d4d3f3c5c-1867-1490-1779404271.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=RUX2ipmS6VHRsjyLhlAYgg"" /></a>'Không xuất thô, khai thác đất hiếm bằng mọi giá'; Lý do Israel bắt giữ các nhà hoạt động trên đội tàu tới Gaza,...",58:11.8
VnExpress,Thủ môn Brazil ngất xỉu khi nghe tin dự World Cup 2026,https://vnexpress.net/thu-mon-brazil-ngat-xiu-khi-nghe-tin-du-world-cup-2026-5076778.html,"<a href=""https://vnexpress.net/thu-mon-brazil-ngat-xiu-khi-nghe-tin-du-world-cup-2026-5076778.html""><img src=""https://i1-thethao.vnecdn.net/2026/05/22/weverton-1779390529-4436-1779390709.gif?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=H3pTCjW19ePI3bZLnyP0mg&amp;t=image"" /></a>Thủ môn Weverton đổ gục xuống sàn nhà khi nghe tên trong danh sách dự World Cup 2026, dù người thân quanh vẫn nhảy múa và reo hò mà không nhận ra tình trạng của anh.",58:11.8
VnExpress,Xu hướng mua nhà tặng con,https://vnexpress.net/xu-huong-mua-nha-tang-con-5076502.html,"<a href=""https://vnexpress.net/xu-huong-mua-nha-tang-con-5076502.html""><img src=""https://i1-giadinh.vnecdn.net/2026/05/21/00-1779364092-5720-1779364524.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=xES3C2G7dw_cKZAXhJnxLg"" /></a>Thay vì trao thừa kế, nhiều phụ huynh Mỹ hỗ trợ con cái mua nhà nhưng đi kèm các quy định khắt khe về vị trí và hợp đồng pháp lý.",58:11.8
VnExpress,Bác sĩ tim mạch nêu 4 thực phẩm cần tránh để sống thọ,https://vnexpress.net/bac-si-tim-mach-neu-4-thuc-pham-can-tranh-de-song-tho-5069074.html,"<a href=""https://vnexpress.net/bac-si-tim-mach-neu-4-thuc-pham-can-tranh-de-song-tho-5069074.html""><img src=""https://i1-suckhoe.vnecdn.net/2026/05/02/screenshot-at-1777692926-6335-1777693196.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=yRiKDyXG-jn0MRaGrk-Cyw"" /></a>Đồ uống có đường, thịt chế biến sẵn, rượu bia và chất béo bão hòa dư thừa đã được chứng minh làm giảm tuổi thọ, chuyên gia khuyên nên tránh.",58:11.8
VnExpress,Hollywood chia phe trước AI,https://vnexpress.net/hollywood-chia-phe-truoc-ai-5073449.html,"<a href=""https://vnexpress.net/hollywood-chia-phe-truoc-ai-5073449.html""><img src=""https://i1-giaitri.vnecdn.net/2026/05/15/ai-val-kilmer-trong-as-deep-as-4592-3880-1778820205.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=yluhSKzbp8jzv5IWt-BO2Q"" /></a>Demi Moore, Ben Affleck ủng hộ làm phim cùng AI, còn nhiều đạo diễn cho rằng trí tuệ nhân tạo chỉ biết bắt chước, tạo ra thứ tầm thường.",58:11.8
VnExpress,"Lý do barie tàu hỏa không hạ ngay khi đèn đỏ, chuông reo",https://vnexpress.net/ly-do-barie-tau-hoa-khong-ha-ngay-khi-den-do-chuong-reo-5076529.html,"<a href=""https://vnexpress.net/ly-do-barie-tau-hoa-khong-ha-ngay-khi-den-do-chuong-reo-5076529.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/21/5-jpg-jpg-1779344053-4810-1779344086.webp?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=Qpu3W6AnTyC6tPS5CHdb9w"" /></a>Hệ thống đường ngang tàu hỏa được thiết kế cảnh báo theo từng bước nhằm tạo khoảng an toàn cho người và phương tiện.",58:11.8
VnExpress,"Sinner, Djokovic, Sabalenka 'biểu tình mềm' ở Roland Garros",https://vnexpress.net/sinner-djokovic-sabalenka-bieu-tinh-mem-o-roland-garros-5076781.html,"<a href=""https://vnexpress.net/sinner-djokovic-sabalenka-bieu-tinh-mem-o-roland-garros-5076781.html""><img src=""https://i1-thethao.vnecdn.net/2026/05/22/owhzps20260519rgvc6671-1779400-5618-4854-1779400474.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=pO6GuMjTBZ60mc3kfeLe3w"" /></a>Các ngôi sao quần vợt Jannik Sinner, Novak Djokovic hay Aryna Sabalenka phát động chiến dịch phản đối Roland Garros, do không hài lòng tỷ lệ tiền thưởng nhận được.",58:11.8
VnExpress,Nữ sinh Hà Nội đỗ cả Thanh Hoa và Bắc Đại,https://vnexpress.net/nu-sinh-ha-noi-do-ca-thanh-hoa-va-bac-dai-5076765.html,"<a href=""https://vnexpress.net/nu-sinh-ha-noi-do-ca-thanh-hoa-va-bac-dai-5076765.html""><img src=""https://i1-vnexpress.vnecdn.net/2026/05/21/8c143287273241bfadc18d0fb593eb-7874-8109-1779379850.jpg?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=aDSqf8LF0ZQ1sehww1QUfA"" /></a>Thảo Nguyên, 18 tuổi, đỗ ngành Luật ở ba ngôi trường danh tiếng Trung Quốc là Đại học Thanh Hoa, Bắc Kinh và Phúc Đán.",58:11.8
VnExpress,Maguire sốc vì lỡ World Cup 2026,https://vnexpress.net/maguire-soc-vi-lo-world-cup-2026-5076777.html,"<a href=""https://vnexpress.net/maguire-soc-vi-lo-world-cup-2026-5076777.html""><img src=""https://i1-thethao.vnecdn.net/2026/05/22/maguire-png-1779390593-9467-1779390599.png?w=1200&amp;h=0&amp;q=100&amp;dpr=1&amp;fit=crop&amp;s=RLduRbxbH41XJekS_9l1MQ"" /></a>Trung vệ Man Utd, Harry Maguire thừa nhận bị sốc khi không được HLV Thomas Tuchel triệu tập lên tuyển Anh dự World Cup 2026.",58:11.8
